,title,salary,company,location,tags,description,work_type,work_time,address,degree,department,working_experience,qualification_bonus,contact_person
10,D4000 資訊課級主管(資料分析與架構研發),薪資面議(經常性薪資達4萬元含以上),富邦媒體科技股份有限公司,台北市內湖區,,"【工作內容】1. 數據品質管理與治理• 制定並執行數據品質標準與最佳實踐，確保數據的一致性與完整性。• 監督數據清理、ETL (Extract, Transform, Load) 流程與數據監測機制，確保數據的高品質。• 落實數據治理架構，推動企業級數據管理政策與合規要求，如 GDPR、CCPA 等。• 協同 IT、業務與產品團隊，提升企業對數據治理與數據品質管理的認識與落實程度。2. 數據分析模型開發• 帶領團隊開發和優化數據分析模型，支援業務決策、風險評估、行銷策略與客戶分析。• 與業務單位合作，分析需求並提供即時數據分析報告，幫助企業制定精準策略。• 監控與評估模型效能，確保數據分析結果的準確性與穩定性。3. 技術創新與架構優化• 採用最新的數據分析技術，探索 AI/ML、Data Lakehouse、雲端計算技術的應用，提升數據處理效率。• 推動資料治理與數據模型標準化，提升數據分析系統的可擴展性與易用性。• 評估與導入先進的數據治理與分析工具，如 DBT、Great Expectations、Apache Airflow、DataHub等。4. 團隊管理與人才培育• 組建並管理數據品質與分析模型團隊，確保團隊專業技術能力符合公司發展需求。• 設定團隊 KPI，追蹤專案進度，確保專案如期交付並達成預期效益。• 規劃內部培訓與知識分享機制，提升團隊的技術水準與業務理解力。• 與其他技術部門、業務部門合作，確保數據品質與分析模型能滿足企業需求。【工作技能】1. 數據品質管理：• 熟悉數據品質監控工具（如 Great Expectations、DBT）。• 深入理解數據治理框架與標準，如 DMBOK、ISO 8000、GDPR、CCPA。• 熟悉 ETL、數據管道與數據清理技術，確保數據的一致性與完整性。2. 數據分析與機器學習：• 精通 SQL，具備處理大規模數據的能力。• 熟練使用 Python、R 進行數據分析與機器學習建模。• 熟悉數據視覺化工具，如 Tableau、Power BI、Looker。3. 雲端與大數據技術：• 具備雲端數據處理經驗（AWS、Azure、Google Cloud）。• 熟悉 Data Lakehouse、Snowflake、Databricks、Apache Spark 等技術。• 熟悉數據倉儲與資料湖的整合與最佳實踐。4. 管理與溝通能力• 具備優秀的團隊管理與溝通能力，能夠有效協調跨部門合作。• 能夠清晰表達技術概念，並能向非技術團隊解釋數據分析結果。• 具備良好的問題解決能力與決策能力，能夠在高壓環境下有效推動專案進展。",全職,,台北市內湖區洲子街96號4樓(內湖科技園區),大學以上,不拘,7 年以上,,HR
11,D4000 資料倉儲數據工程師,薪資面議(經常性薪資達4萬元含以上),富邦媒體科技股份有限公司,台北市內湖區,,我們在尋找具有熱情、創新和技術專業的資料工程師加入我們數據團隊，如果你對數據技術充滿熱情，熱於挑戰和解決各種數據問題，歡迎加入我們。工作內容:1. 負責ETL流程開發與維運，確保資料準確性與完整性。2. 參與資料倉儲的設計、開發、優化和維護。3. 與其他部門合作，解決資料相關問題，支持業務需求。專業知識:1. 具有資料庫設計與優化經驗。2. 熟悉一種以上資料庫，如: PostgreSQL、MySQL、Oracle etc。3. 熟悉大數據技術，如: Hadoop、Spark. 等。4. 擅長工具 ETL(Informatica，Trinity，Apache NiFi etc.),全職,09:00~18:00,台北市內湖區(依公司規定),大學以上,不拘,1 年以上,英文→聽：略懂　說：略懂　讀：略懂　寫：略懂,HR
12,☆永科☆日商科技廠＜正職＞資訊人員,"月薪　35,000 至 43,000元",萬通國際人力開發股份有限公司,台南市永康區,"#有獎金分紅
#年終獎金
#24h必回覆","【工作內容】1.電腦軟硬體裝修、相關週邊維護2.網路及伺服器基本維護3.資料庫SQL操作4. javascript基本操作5. ERP操作維護6.主管交辦事項【上班時間】週一至週五 08:00~17:00【薪資待遇】月薪35,000~43,000元（依學經歷核薪）具勞、健保、團保、退休金提撥、生日禮金、三節獎金、年終獎金、公司分紅及個人績效獎金、員工旅遊、餐會、尾牙抽獎等【補充說明】❇️正職名額，非派遣契約人員❇️公司制度完善、工作穩定，發展空間大❇️需配合公司出差(公司全額補助住宿交通伙食)▬▬▬快▬▬▬速▬▬▬應▬▬▬徵▬▬▬●線上投遞，由專人通知面試●電話【06-2552121分機88101】洽許小姐●加LINE ID【@job55555】截圖＋留言諮詢",全職,08:00~17:00需配合加班,台南市永康區永科環路,專科以上,資訊管理學類、電算機相關,2 年以上,,許小姐
13,總公司 Junior Data Engineer_台北,薪資面議(經常性薪資達4萬元含以上),(家樂福)家福股份有限公司,台北市北投區,,- 數據倉儲系統及使用者問題釐清排除。- 數據倉儲及 BI 系統、AI 服務資源檢視、監控、優化。- 開發或維運既有 Data Pipelines。- 數據分析：行銷受眾分析撈取、營運分析、儀表板製作。- 其他數據相關專案支援。,全職,09:00~18:30,台北市北投區大業路136號,大學以上,不拘,1 年以上,,人力資源部
14,廣告平台資料工程師,薪資面議(經常性薪資達4萬元含以上),富邦媒體科技股份有限公司,台北市內湖區,,我們正在尋找熱衷於技術創新和挑戰的工程師，加入我們的研發團隊！!開發和維護全台灣流量最大的通路電商平台內的站內廣告系統。您將有機會接觸到海量的數據和高流量的系統，並通過開發的廣告產品推動業務發展。這是個充滿無限可能的新團隊，您將有機會參與整個團隊建制過程，一起建立你理想的開發流程與文化。您可以基於產品未來發展藍圖和現況，持續調整來建構一套全雲端高效率且技術要求高與基於數據為核心的系統，並參與千萬用戶級別的產品開發。工作內容：1.負責廣告平台 Momo Ads 系統的資料流設計，並協助開發滿足廣告業務發展相關的需求2.優化系統 Data Pipeline 處理海量用戶與廣告事件，提供即時且高效率的 OLAP 系統3.與演算法工程師與資料分析師協作開發廣告引擎模型與競價引擎4.關聯式與非關聯式資料庫的 DB Schema 設計與效能優化5.開發與線上環境皆基於雲端架構，使用到的技術包含但不限於 AWS、Linux、Docker、SQL Server、PostgreSQL、Redis、Cassandra、BigQuery、Spark6.支援跨部門、跨業務單位的數據整合任務需求技能：1.熟悉 Java 或 Python 語言開發2.設計與優化資料庫經驗並熟悉 SQL 語法3.具備系統架構分析、專案需求分析、系統設計與技術選型能力4.熟悉使用 git 進行程式版本控制5.熟悉 ETL 流程設計，並具備使用 Apache Airflow 進行工作流調度的經驗6.具備 ClickHouse 或其他 OLAP 數據處理系統的使用與優化經驗,全職,,台北市內湖區(依公司規定),大學以上,不拘,1 年以上,,HR
15,D4000 資料科學家,薪資面議(經常性薪資達4萬元含以上),富邦媒體科技股份有限公司,台北市內湖區,,1.資料前處理: 數據清洗、特徵工程、特徵選取2.應用數據挖掘、機器學習、深度學習、最佳化等技術，建立推薦與決策模型3.成效指標設計，模型驗證與優化4.模型生命週期管理，保持預測效果與執行效能5.透過論文與相關技術文件，精進相關技術Must have :1.熟悉完整資料分析流程，且具一年以上實作經驗2.具資料分析領域相關經驗: 數據挖掘/機器學習/深度學習/最佳化/統計模型/NLP等3.熟悉python與相關函式庫4.具備SQL技能5.有模型優化/參數調教相關經驗,全職,09:00~18:00,台北市內湖區洲子街內湖科技園區(內湖科技園區),大學以上,電算機相關、統計學類,2 年以上,英文→聽：普通　說：普通　讀：精通　寫：普通,HR
16,廣告推薦機器學習工程師,薪資面議(經常性薪資達4萬元含以上),富邦媒體科技股份有限公司,台北市內湖區,,我們正在尋找熱衷於技術創新和挑戰的工程師，加入我們的研發團隊！!開發和維護全台灣流量最大的通路電商平台內的站內廣告系統。您將有機會接觸到海量的數據和高流量的系統，並通過開發的廣告產品推動業務發展。 這是個充滿無限可能的新團隊，您將有機會參與整個團隊建制過程，一起建立你理想的開發流程與文化。 您可以基於產品未來發展藍圖和現況，持續調整來建構一套全雲端高效率且技術要求高與基於數據為核心的系統，並參與千萬用戶級別的產品開發。工作內容：1.模型開發與優化：使用深度學習技術，開發及優化商品推薦系統和廣告推薦模型2.數據分析與處理：分析消費者行為，持續優化模型及廣告成效3.大型語言模型：透過應用大型語言模型，強化推薦成果4.技術協作：與跨部門團隊合作，整合數據並優化廣告系統技術需求：1.機器學習演算法：協同過濾、推薦系統2.深度學習框架：pyTorch or TensorFlow3.自然語言處理：詞嵌入(word embedding)、詞向量(Word2Vec)、語意相似度計算4.MLOps：模型自動化部署和監控(MLflow)，模型版本控制、模型服務化5.資料庫：SQL、NoSQL6.版本控制：GitHub,全職,,台北市內湖區(依公司規定),大學以上,不拘,1 年以上,,HR
17,D4000 資訊課級主管(客戶行為應用方向),薪資面議(經常性薪資達4萬元含以上),富邦媒體科技股份有限公司,台北市內湖區,,【工作內容】1. 客戶行為資料應用策略規劃• 制定課別年度目標、技術藍圖與專案方向• 導入跨場域客戶旅程整合策略，提升平台生態多樣性分析能力• 推動資料應用導入推薦、再行銷、廣告、CRM 等關鍵情境2. 行為模型研發與標籤轉換強化• 規劃與監督客戶行為模型（分類、分群、LTV、購買意圖等）之設計與實施• 發展動態標籤轉換與多階段行為預測模型，提高個人化行銷準確性• 與資料品質與模型課協作，定義標籤演算法邏輯與管理維度品質3. 跨部門應用推進與落地•  與行銷、CRM、推薦系統、客服、商品等部門合作，整合行為應用場景• 支援 A/B 測試設計與轉換率提升評估，推動資料驅動決策文化• 設計模組化分析結果 API 介接標準，強化資料產品化4. 團隊管理與人才培育• 領導與發展資料分析師、數據科學家與應用工程師團隊• 推動內部分析方法論與知識資產累積，提升分析效率與品質• 評估與導入前瞻技術（如 RL 模型、因果推論、即時預測）【工作技能】1. 具有規劃與監督客戶行為模型（分類、分群、LTV、購買意圖等）之設計與建置經驗。2.熟悉客戶資料平台（CDP）與 CRM等客戶旅程相關系統。3.具有推動資料應用導入推薦、再行銷、廣告、CRM 等情境之經驗。,全職,,台北市內湖區洲子街96號4樓(內湖科技園區),大學以上,不拘,5 年以上,,HR
18,D4000 資料工程師(推薦/搜尋),薪資面議(經常性薪資達4萬元含以上),富邦媒體科技股份有限公司,台北市內湖區,,【工作內容】1. 負責推薦、搜尋平台系統的資料流設計，並協助開發滿足相關數據產品發展的需求，協助業務團隊發揮數據商業價值2. 與資料科學家、演算法工程師、資料分析師等，協作開發推薦、搜尋引擎模型，進行機器學習、深度學習之模型自動化、模型服務架構設計、開發與維運3. 優化系統 Data Pipeline 處理海量用戶互動事件4. 關聯式與非關聯式資料庫的DB Schema 設計與效能優化5. 開發與線上環境橫跨雲地架構，使用到的技術包含但不限於 GCP、Linux、Docker、PostgreSQL、Redis、BigQuery、Spark、Machine Learning。6. LLM應用開發，開發及優化基於大語言模型之應用7. 支援跨部門、跨業務單位的數據整合任務【技能要求】1. 熟悉 Java 或 Python 語言開發 2. 設計與優化資料庫經驗並熟悉 SQL 語法 3. 熟悉Redis應用4. 熟悉使用 git 進行程式版本控制 5. 良好的文件撰寫能力【加分項目】6. 具大量資料與具擴展性的系統處理經驗，如 BigQuery / Apache Spark7. 熟悉一種主流雲端平台(GCP、AWS)的使用與管理 8. 具有MLOps相關經驗，如AI模型容器化、部署、版本控制和品質監控，測試模型性能（質量，延遲，負載處理）的經驗。9. 使用Kubernets，Triton Inference Server經驗10. 具備數位推薦、搜尋、廣告或電商產業領域知識,全職,,台北市內湖區洲子街96號4樓(內湖科技園區),大學以上,不拘,3 年以上,,HR
19,D4000 資料架構工程師,薪資面議(經常性薪資達4萬元含以上),富邦媒體科技股份有限公司,台北市內湖區,,"【工作內容】1. 資料架構設計與最佳化•設計企業級數據架構，包括數據湖 (Data Lake)、數據倉儲 (Data Warehouse)、Data Lakehouse，確保架構的靈活性與可擴展性。•推動存算分離架構，提升數據存儲與計算資源的彈性擴展能力。•優化數據管道 (Data Pipeline)，確保數據從收集、轉換到存儲的高效與穩定性。•負責資料模型 (Data Modeling) 設計，確保數據架構能夠支持業務分析、數據治理與機器學習應用。2. 數據串流與即時處理•設計與開發實時數據串流處理系統，使用 Kafka、Flink、Spark Streaming 等技術，確保數據即時性。•建構高效數據管道 (ETL/ELT)，優化數據處理效率，確保數據可用性與低延遲。•實施事件驅動架構 (Event-Driven Architecture, EDA)，確保系統對業務變化的即時反應能力。3. 雲原生技術與數據基礎設施•主導數據架構的雲端遷移，確保數據平台適應 AWS、Azure、GCP 等雲端環境。•推動基於 Kubernetes、Docker 的容器化部署，提升系統的可移植性與可維護性。•整合雲端大數據技術 (如 Snowflake、BigQuery、Redshift)，提升數據處理效能與成本效益。4. 團隊技術指導與跨部門合作•擔任技術領導角色，指導資料工程師與其他技術人員，提升團隊的技術能力。•與數據分析、機器學習、業務團隊合作，確保數據架構能夠支援數據驅動決策與業務需求。•持續研究並導入新興技術，提升數據架構的先進性與競爭力。【工作技能】1. 數據架構與資料工程•熟悉數據架構設計原則，包括 數據湖、數據倉儲、Data Lakehouse、存算分離架構。•具備 ETL/ELT 開發經驗，熟悉 Apache Airflow、DBT、Informatica 或其他數據管道工具。•了解 數據建模 (Data Modeling)，具備 OLAP/OLTP 設計經驗。2. 大數據與串流處理• 熟悉 大數據處理框架 (如 Apache Spark、Flink、Hadoop、Presto)。•熟悉 串流數據處理技術 (如 Apache Kafka、Flink、Spark Streaming)。3. 雲端技術與 DevOps•具備 雲原生技術 (Kubernetes、Docker) 相關經驗。具備 DevOps 及 CI/CD 建置經驗。",全職,,台北市內湖區洲子街96號4樓(內湖科技園區),大學以上,不拘,5 年以上,,HR
20,[下半年實習] 計量交易部策略交易科實習生(實習僅能選擇一項投遞),時薪　190元,統一綜合證券股份有限公司,台北市松山區,,【實習內容】 技術類1. 參與區塊鏈應用或智能合約開發2. 學習區塊鏈系統的安全評估與測試3. 進行區塊鏈數據分析非技術類1. 負責社群經營與活動行銷2. 分析區塊鏈相關市場趨勢並撰寫研究報告3. 進行區塊鏈產品管理【實習條件】 1.學歷：碩一(含)以上2.科系：資訊相關科系，或具資訊、區塊鏈相關課程背景者3.技能：技術類：具區塊鏈基礎知識，熟悉區塊鏈數據(Dune Analytics、The Graph)，熟悉任一程式(Solidity、Rust、Go、Python)非技術類：具區塊鏈基礎知識、具撰寫市場研究報告及經營社群的能力4.加分條件：有區塊鏈相關實作經驗、曾參與研究計畫、活動策展或黑客松比賽、對 Web3 產業高度興趣【實習期間】114/9/8-12/12 (每週至多3日)【實習薪資】 基本時薪190元/時，含勞保勞退及團保(全天實習享伙食津貼)【實習地點】統一證券總公司大樓-台北市松山區東興路8號(近捷運南京三民站),全職,,台北市松山區東興路8號,碩士,資訊管理學類、資訊工程學類,不拘,,王小姐、蔡小姐
21,[下半年實習] 經紀部數據中心實習生(實習僅能選擇一項投遞),時薪　190元,統一綜合證券股份有限公司,台北市松山區,,【實習內容】 1. ETL 程式設計與開發2. 資料流追蹤與品管3. 資料倉儲架構學習與協助建構【實習條件】 1.學歷：大三(含)以上2.科系：統計/資訊/金融相關3.技能：溝通協調能力、團隊合作、具備R/Pyphon/Java/Shell script 等程式語言能力、具備SQL資料處理能力、具備微軟文書能力4.個人特質：對數據工程、資料平台、資料倉儲具高度興趣；細心、負責，願意持續學習5.加分條件： 使用過 ETL 工具（如 Airflow、Apache NiFi、Talend、SSIS）、有撰寫技術文件、系統設計筆記的經驗有團隊專案、GitHub 作品或部落格可供參考者【實習期間】114/9/8-12/12 (每週至多3日)【實習薪資】 基本時薪190元/時，含勞保勞退及團保(全天實習享伙食津貼)【實習地點】統一證券總公司大樓-台北市松山區東興路8號(近捷運南京三民站),全職,,台北市松山區東興路8號,大學,統計學類、資訊管理學類、財務金融學類,不拘,,王小姐、蔡小姐
22,[下半年實習] 計量交易部期貨自營科實習生(實習僅能選擇一項投遞),時薪　190元,統一綜合證券股份有限公司,台北市松山區,,【實習內容】 1. 交易數據整理與清洗2. 交易工具設計與研發3. 量化策略模擬與分析【實習條件】 1. 學歷 : 大四(含)以上，碩一、碩二為佳2. 科系 : 資工、資管、財金相關科系3. 技能：熟悉 SQL、C#尤佳【實習期間】114/9/8-12/12 (每週至多3日)【實習薪資】 基本時薪190元/時，含勞保勞退及團保(全天實習享伙食津貼)【實習地點】統一證券總公司大樓-台北市松山區東興路8號(近捷運南京三民站),全職,,台北市松山區東興路8號,大學,資訊工程學類、資訊管理學類、財務金融學類,不拘,,王小姐、蔡小姐
23,數據工程師,"月薪　50,000元以上",神腦國際企業股份有限公司,新北市新店區,,你是否熱愛用數據解碼零售的運作奧秘？我們正在尋找一位對數據技術充滿熱情、喜歡持續學習的夥伴，一同打造穩定且高效的數據平台，驅動零售業務的智慧決策。在這裡，你將有機會與跨部門團隊合作，將技術轉化為實際應用，讓數據真正發揮價值。工作內容1.數據管道建置設計、構建並維護可靠的數據管道，確保資料從各來源正確且高效地整合至數據平台。2.程式設計與開發使用ETL工具進行資料庫及資料表系統相關的程式設計與開發，落實數據處理流程。3.需求訪談與文件製作參與資料管理與處理相關專案的需求訪談與系統分析，並製作系統需求規格書，確保需求與技術實現無縫接軌。4.跨部門協作與開發團隊合作整合並優化API數據串流，確保數據流的可靠性及即時性，支持業務決策。5.安全與效能監控建立並維護數據安全性措施，確保資料隱私與合規性，同時持續監控與優化數據管道效能。6.數據平台創新參與數據平台的設計與架構討論，提出創新且高效的數據解決方案，協助團隊持續提升技術能力。其他條件•熟悉ETL流程與工具，如 Informatica、SSIS、Trinity 等使用經驗。•熟悉SQL設計與開發，具備撰寫SQL Script與Stored Procedure的實務經驗。•熟悉資料庫設計原則，能夠進行資料查詢優化及結構調整。加分條件•至少2年以上數據工程相關經驗，並能展示數據管道或數據平台的相關專案成果。•有使用AWS、Azure、GCP等雲端平台進行數據處理的實務經驗。•能在快節奏環境中自主工作，對新技術保持學習熱忱。,全職,,新北市新店區中正路531號(總公司),大學以上,統計學類、資訊工程學類,2 年以上,,HR 何小姐
